VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-04-09 18:37:27,2022-04-09 18:52:43,1.0,2.1,1.0,N,144,234,2,11.5,2.5,0.5,2.96,0.0,0.3,17.76,2.5,0.0
2,2022-04-09 18:13:07,2022-04-09 18:44:24,1.0,5.38,1.0,N,48,226,2,23.0,0.0,0.5,3.7,0.0,0.3,30.0,2.5,0.0
2,2022-04-09 18:52:03,2022-04-09 18:55:17,1.0,0.67,1.0,N,43,43,2,4.5,0.0,0.5,1.56,0.0,0.3,9.36,2.5,0.0
1,2022-04-09 19:23:33,2022-04-09 19:32:25,1.0,1.6,1.0,N,234,162,3,8.0,2.5,0.5,0.0,0.0,0.3,11.3,2.5,0.0
2,2022-04-09 20:11:08,2022-04-09 20:42:10,3.0,3.79,1.0,N,87,230,3,20.0,0.5,0.5,0.0,0.0,0.3,23.8,2.5,0.0
2,2022-04-09 20:25:08,2022-04-09 20:49:34,3.0,2.96,1.0,N,161,249,3,15.5,0.5,0.5,0.0,0.0,0.3,19.3,2.5,0.0
2,2022-04-09 21:13:45,2022-04-09 21:28:39,2.0,5.64,1.0,N,41,48,3,18.5,0.5,0.5,0.0,0.0,0.3,22.3,2.5,0.0
2,2022-04-09 22:10:37,2022-04-09 22:34:16,2.0,4.44,1.0,N,234,97,2,18.5,0.5,0.5,4.46,0.0,0.3,26.76,2.5,0.0
2,2022-04-09 22:26:06,2022-04-09 22:31:06,6.0,1.47,1.0,N,100,163,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5,0.0
2,2022-04-09 22:56:22,2022-04-09 23:30:03,2.0,18.19,2.0,N,132,163,2,52.0,0.0,0.5,12.37,6.55,0.3,75.47,2.5,1.25
2,2022-04-09 22:35:04,2022-04-09 22:50:50,1.0,7.26,4.0,N,132,265,3,23.5,0.5,0.5,0.0,0.0,0.3,26.05,0.0,1.25
2,2022-04-09 23:46:27,2022-04-09 23:46:31,1.0,0.01,1.0,N,132,132,3,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0.0,0.0
1,2022-04-10 00:02:31,2022-04-10 00:15:11,0.0,3.7,1.0,N,161,74,2,13.0,3.0,0.5,3.35,0.0,0.3,20.15,2.5,0.0
2,2022-04-10 01:50:20,2022-04-10 01:55:24,2.0,1.43,1.0,N,79,137,2,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
1,2022-04-10 01:58:25,2022-04-10 02:19:13,1.0,4.1,1.0,N,141,68,2,16.5,3.0,0.5,4.05,0.0,0.3,24.35,2.5,0.0
2,2022-04-10 02:58:24,2022-04-10 03:04:19,1.0,1.08,1.0,N,79,114,2,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
2,2022-04-10 04:11:55,2022-04-10 04:27:58,1.0,7.73,1.0,N,231,263,2,23.0,0.5,0.5,5.36,0.0,0.3,32.16,2.5,0.0
2,2022-04-10 06:31:14,2022-04-10 06:40:35,1.0,2.95,1.0,N,100,236,2,10.5,0.0,0.5,1.0,0.0,0.3,14.8,2.5,0.0
2,2022-04-10 07:43:28,2022-04-10 07:50:37,3.0,1.31,1.0,N,239,263,2,7.5,0.0,0.5,2.16,0.0,0.3,12.96,2.5,0.0
1,2022-04-10 07:37:15,2022-04-10 07:42:04,1.0,1.4,1.0,N,186,163,2,6.0,2.5,0.5,1.86,0.0,0.3,11.16,2.5,0.0
2,2022-04-10 08:16:27,2022-04-10 08:21:28,1.0,0.94,1.0,N,143,163,2,5.5,0.0,0.5,1.76,0.0,0.3,10.56,2.5,0.0
2,2022-04-10 09:45:44,2022-04-10 09:54:19,2.0,1.6,1.0,N,68,125,2,7.5,0.0,0.5,2.16,0.0,0.3,12.96,2.5,0.0
2,2022-04-10 09:40:15,2022-04-10 09:44:15,1.0,1.13,1.0,N,229,237,2,5.5,0.0,0.5,1.76,0.0,0.3,10.56,2.5,0.0
1,2022-04-10 10:32:24,2022-04-10 10:37:04,1.0,0.8,1.0,N,79,107,2,5.0,2.5,0.5,0.0,0.0,0.3,8.3,2.5,0.0
1,2022-04-10 11:37:41,2022-04-10 11:39:38,1.0,0.2,1.0,N,239,239,2,3.5,2.5,0.5,1.35,0.0,0.3,8.15,2.5,0.0
2,2022-04-10 11:11:02,2022-04-10 11:38:24,1.0,5.93,1.0,N,48,65,2,22.0,0.0,0.5,3.0,0.0,0.3,28.3,2.5,0.0
1,2022-04-10 12:56:40,2022-04-10 13:20:29,1.0,4.0,1.0,N,68,262,2,16.0,2.5,0.5,4.85,0.0,0.3,24.15,2.5,0.0
2,2022-04-10 13:54:19,2022-04-10 14:24:38,2.0,3.74,1.0,N,43,113,2,20.5,0.0,0.5,0.0,0.0,0.3,23.8,2.5,0.0
2,2022-04-10 13:14:01,2022-04-10 13:22:49,1.0,1.68,1.0,N,263,229,2,8.0,0.0,0.5,1.0,0.0,0.3,12.3,2.5,0.0
1,2022-04-10 13:01:12,2022-04-10 13:05:08,1.0,0.6,1.0,N,233,229,4,4.5,2.5,0.5,0.0,0.0,0.3,7.8,2.5,0.0
2,2022-04-10 15:04:21,2022-04-10 15:19:43,2.0,2.4,1.0,N,142,186,2,12.0,0.0,0.5,3.0,0.0,0.3,18.3,2.5,0.0
2,2022-04-10 16:55:55,2022-04-10 17:00:03,1.0,0.7,1.0,N,163,229,2,5.0,0.0,0.5,2.49,0.0,0.3,10.79,2.5,0.0
1,2022-04-10 16:01:32,2022-04-10 16:15:41,1.0,1.7,1.0,N,236,239,2,10.5,2.5,0.5,1.38,0.0,0.3,15.18,2.5,0.0
